word,term,estimate,std.error,statistic,p.value,n
models,year,-0.450314328531344,0.21614412423988477,-2.0833984273917547,0.03721492150034331,63
guide,year,-0.47917684381315107,0.3129370237362196,-1.5312245195284342,0.12571391285213016,30
python,year,-0.48311218523716104,0.24054231987632987,-2.0084290593253766,0.04459771750129811,51
trends,year,-0.4906329478173,0.374052929748739,-1.311667170062993,0.18963245844928517,21
services,year,-0.4987107656143745,0.36571702726767824,-1.363652027197942,0.17267710922929438,22
scale,year,-0.5283388235057082,0.44369452881356164,-1.1907715538401729,0.23374327895795208,15
bi,year,-0.5539636970597869,0.40604386232910145,-1.3642952115621325,0.17247467236570904,18
quick,year,-0.5661730591890953,0.40648986875377174,-1.3928343673727586,0.16366988320382855,18
microsoft,year,-0.5682204107717145,0.22927888872606939,-2.4782936358811254,0.013201245214857217,57
server,year,-0.5741696788085557,0.23142203950008075,-2.4810501197244674,0.013099595255184403,56
prediction,year,-0.5815865421089409,0.4070680582806455,-1.4287206531640388,0.15308453923894103,18
easy,year,-0.6163335716328051,0.33375884647321746,-1.8466434018019742,0.06479883953071576,27
conference,year,-0.6360605339467861,0.2939422207238403,-2.1638964704712054,0.030472295887532894,35
reproducible,year,-0.6372743322956831,0.2859748181019617,-2.2284281410696405,0.0258519782594167,37
plotting,year,-0.6486305127360655,0.43457095078571223,-1.492576785363425,0.1355480038277358,16
interactive,year,-0.660891935317882,0.2573246329668495,-2.568319743423177,0.010219284579578679,46
user,year,-0.6723887070042718,0.21232844178646962,-3.166738762583991,0.0015415873634849315,68
nssd,year,-0.6797665729406666,0.3242564021080191,-2.0963859727100065,0.03604796572409686,29
release,year,-0.680299361763417,0.4360535627922617,-1.5601279746624048,0.11872964192836741,16
election,year,-0.7425378418042018,0.3384393383478928,-2.19400571289654,0.028234998851264282,27
analyzing,year,-0.784758992180979,0.30337213868515783,-2.5867866297221465,0.00968755603635416,34
tips,year,-0.7904164226695467,0.4166533879294867,-1.897059871749596,0.057820036596768896,18
market,year,-0.8522587208462935,0.46008653451904924,-1.8523878811997854,0.06397014426949259,15
interview,year,-0.8629271920395722,0.42073490331467583,-2.0509997750155096,0.040266968655740615,18
analytics,year,-0.8832918448536157,0.3218957418037078,-2.7440308464603658,0.006068983484407897,31
spark,year,-0.8909790301856453,0.38222552800644466,-2.3310296275413154,0.019751797477496832,22
episode,year,-0.9240824070374205,0.4244747413697782,-2.177002108665902,0.02948041010927733,18
finance,year,-1.03915352946586,0.3911149244874512,-2.656900732764548,0.007886266076859832,22
fast,year,-1.0612666961547292,0.4600808258752845,-2.306696207423367,0.021071761836544533,16
plotly,year,-1.30484566918158,0.3213207410453922,-4.060882173171783,4.888764079438212e-5,36
understanding,year,-1.333176150182509,0.4694931300661236,-2.8396073654895524,0.004516909199572257,17
earl,year,-1.3353442781560498,0.48412142113029394,-2.758283810368024,0.005810572551050678,16
jobs,year,-1.7650755510046445,0.5324341577478761,-3.315105774713391,9.160845366733789e-4,16
